area_type,availability,location,id,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Indira Nagar,4981,2,Suurtni,1470,2,2,170
Super built-up  Area,Ready To Move,Yelahanka,4982,2,,1250,2,2,40
Plot  Area,Ready To Move,HBR Layout,4983,4,,800,4,1,180
Super built-up  Area,Ready To Move,Badavala Nagar,4984,3,DNncasa,1494,2,2,94.55
Built-up  Area,18-May,Hennur Road,4985,3,Maity W,1445,2,1,105
Super built-up  Area,Ready To Move,Kundalahalli,4986,3,Dieldli,1397,3,3,105
Super built-up  Area,19-Dec,Vijayanagar,4987,1,Saityat,606,1,1,40
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,4988,2,Mauner ,861,2,1,34.5
Super built-up  Area,Ready To Move, Devarachikkanahalli,4989,2,,1170,2,2,40
Super built-up  Area,18-Dec,Koramangala,4990,4,Prood P,2461,6,2,353
Super built-up  Area,Ready To Move,Marathahalli,4991,2,Dwterai,1205,2,1,75
Plot  Area,Ready To Move,Cottonpet,4992,8,,1224,4,0,200
Built-up  Area,Ready To Move,Rajaji Nagar,4993,1,,660,1,0,75
Super built-up  Area,Ready To Move,Dommasandra,4994,2,,1153,2,2,43.5
Plot  Area,Ready To Move,OMBR Layout,4995,5,,2400,5,3,275
Super built-up  Area,18-May,Old Madras Road,4996,5,Brica E,4500,7,3,294
Super built-up  Area,Ready To Move,Vijayanagar,4997,2,J isear,1200,2,2,62
Built-up  Area,Ready To Move,Vignana Nagar,4998,3,Mallad ,1450,3,3,42
Super built-up  Area,Ready To Move,Budigere,4999,2,PrityTr,1139,2,2,60
Super built-up  Area,Ready To Move,Green Glen Layout,5000,3,Soinequ,1530,3,2,105
Plot  Area,18-Feb,2nd Block Jayanagar,5001,6,,825,6,,400
Super built-up  Area,Ready To Move,Electronic City,5002,3,Goty  E,1575,3,3,101
Super built-up  Area,Ready To Move,Whitefield,5003,1,Pranthi,650,1,1,25
Super built-up  Area,18-Apr,Sai Gardens,5004,2,,1120,2,2,40
Super built-up  Area,Ready To Move,Akshaya Nagar,5005,3,BMoldar,1700,3,1,80
Super built-up  Area,Ready To Move,Varthur,5006,2,Ikmesay,1090,2,2,48
Super built-up  Area,Ready To Move,Akshaya Nagar,5007,3,,1897,4,2,93
Plot  Area,18-Feb,Nelamangala,5008,3,V2gesre,1200,3,2,72
Super built-up  Area,21-Dec,Kanakpura Road,5009,2,PrarePa,700,2,1,40
Super built-up  Area,21-Dec,Thanisandra,5010,2,Bhe 2ko,1437,2,1,71.13
Super built-up  Area,Ready To Move,Ambedkar Nagar,5011,3,,1856,3,1,120
Plot  Area,Ready To Move,Singanayakanahalli,5012,3,,1500,2,0,65
Super built-up  Area,18-Dec,Hennur Road,5013,2,Koagati,1036,2,1,59.45
Super built-up  Area,Ready To Move,Attur Layout,5014,6,,3000,8,,90
Super built-up  Area,Ready To Move,Mico Layout,5015,2,Inasy E,1125,2,2,40
Super built-up  Area,18-Oct,Uttarahalli,5016,3,,1320,2,3,55.44
Super built-up  Area,Ready To Move,Malleshwaram,5017,3,Sariaat,2215,4,1,310
Super built-up  Area,Ready To Move,Electronic City,5018,2,Itelaa ,660,1,1,16
Super built-up  Area,Ready To Move,Marathahalli,5019,3,,1730,3,3,110
Plot  Area,Ready To Move,Mahalakshmi Puram,5020,4,,750,4,0,85
Super built-up  Area,21-Dec,Talaghattapura,5021,3,Sodgere,1804,3,1,115
Super built-up  Area,19-May,Thanisandra,5022,3,G conTh,1795,3,2,140
Super built-up  Area,Ready To Move,7th Phase JP Nagar,5023,2,Srayai ,1050,2,1,50
Super built-up  Area,Ready To Move,Dasarahalli,5024,3,Prndsde,2100,3,3,120
Built-up  Area,Ready To Move,Rayasandra,5025,3,,1199,2,1,48.5
Plot  Area,Ready To Move,SBM Colony,5026,3,,1350,2,2,280
Super built-up  Area,Ready To Move,Vignana Nagar,5027,2,,1100,2,2,47
Plot  Area,Ready To Move,Udaya Nagar,5028,2,,1000,1,1,75
Super built-up  Area,22-Mar,Kanakapura,5029,3,,1254,2,2,70
Plot  Area,18-Apr,Medahalli,5030,8,,600,8,,70
Built-up  Area,Ready To Move,Electronics City Phase 1,5031,2,Solle V,940,2,2,49
Built-up  Area,Ready To Move,BTM 2nd Stage,5032,2,MaeamSu,1280,2,2,80
Super built-up  Area,Ready To Move,Whitefield,5033,4,Sulesil,2155,3,3,125
Built-up  Area,Ready To Move,Sarjapur  Road,5034,5,Reyle L,3200,5,3,140
Super built-up  Area,18-Oct,Kasavanhalli,5035,4,,4260,4,3,272
Super built-up  Area,20-Aug,Hebbal,5036,3,Magiaya,1255,2,1,95
Super built-up  Area,Ready To Move,Suraksha Nagar,5037,3,AritaFe,1388,3,3,69.99
Built-up  Area,17-Jun, Whitefield,5038,1,Prtates,905,1,1,52
Super built-up  Area,Ready To Move,VGP Layout,5039,2,Vaurtar,1176,2,2,44
Super built-up  Area,Ready To Move,Uttarahalli,5040,3,Hemai D,1390,2,2,61.16
Plot  Area,Ready To Move,Giri Nagar,5041,4,,2400,4,2,400
Super built-up  Area,Ready To Move,Sahakara Nagar,5042,2,,1160,2,1,55
Super built-up  Area,Ready To Move,Seegehalli,5043,4,,2800,4,3,140
Plot  Area,Ready To Move,5th Block Hbr Layout,5044,4,,1200,4,2,205
Super built-up  Area,Ready To Move,Marathahalli,5045,3,PueraRi,1583,3,3,115
Super built-up  Area,Ready To Move,Jigani,5046,3,DLhtsen,1252,3,,63
Built-up  Area,Ready To Move,Rustam Bagh Layout,5047,2,TealdEm,1170,2,2,86
Built-up  Area,Ready To Move,Bannerghatta Road,5048,3,,1350,2,,51
Super built-up  Area,Ready To Move,Gottigere,5049,2,HivanBr,1075,2,2,30
Built-up  Area,Ready To Move,Hosa Road,5050,2,,972,2,2,40
Super built-up  Area,19-Jan,Bannerghatta Road,5051,3,Hiatei ,1486,3,1,83.22
Plot  Area,Ready To Move,Margondanahalli,5052,2,,555,1,0,37
Plot  Area,Ready To Move,Vaishnavi Layout,5053,4,Prsisge,4830,5,1,390
Built-up  Area,Ready To Move,Cottonpet,5054,2,,850,2,1,75
Super built-up  Area,20-Dec,Binny Pete,5055,3,Shestlo,1282,3,2,178
Super built-up  Area,19-Jun,Hebbal,5056,4,Raard B,2790,4,3,198
Super built-up  Area,Ready To Move,Sarjapur  Road,5057,4,Puallhi,2383,5,1,215
Carpet  Area,Ready To Move,Naganathapura,5058,2,Malmsri,1103,2,1,55
Super built-up  Area,Ready To Move,Rayasandra,5059,3,MJeusyl,1577,3,2,67
Built-up  Area,Ready To Move,Yelahanka,5060,3,NCowsar,1465,3,2,80.01
Built-up  Area,Ready To Move,Vimanapura,5061,3,Inion P,1600,3,1,64
Built-up  Area,Ready To Move,Uttarahalli,5062,2,TGeepga,1090,2,2,45
Super built-up  Area,19-Dec,Yelahanka,5063,3,Goues A,1721,3,3,80.86
Built-up  Area,Ready To Move,Seetharampalya,5064,2,,1100,2,1,55
Super built-up  Area,Ready To Move,Varthur,5065,3,Vaensia,1450,3,2,71
Super built-up  Area,Ready To Move,Battarahalli,5066,2,SraveHi,1071,2,1,62
Super built-up  Area,Ready To Move,Old Madras Road,5067,3,Saciatt,2266,3,2,169
Super built-up  Area,Ready To Move,Kundalahalli Colony,5068,3,Goourta,2065,3,2,130
Built-up  Area,Ready To Move,Kanakpura Road,5069,3,PuandHi,1800,3,2,90
Built-up  Area,Ready To Move,Defence Colony,5070,2,,1150,2,2,125
Plot  Area,Ready To Move,Housing Board Layout Vijay Nagar,5071,8,,1200,8,2,220
Super built-up  Area,Ready To Move,Hormavu,5072,2,ARureig,1123,2,1,56
Super built-up  Area,Ready To Move,Akshaya Nagar,5073,3,DLhtsnd,1884,3,3,98
Plot  Area,Ready To Move,1st Block Jayanagar,5074,7,,930,4,2,85
Super built-up  Area,Ready To Move,Lakshminarayana Pura,5075,2,RothaVa,1145,2,1,75
Super built-up  Area,18-Apr,Hebbal,5076,3,Arcia S,1328,2,2,60
Super built-up  Area,Ready To Move,Subramanyapura,5077,2,Prldsri,950,2,1,55
Super built-up  Area,Ready To Move,Thomas Town,5078,2,TuiteIn,1250,2,,59
Built-up  Area,Ready To Move,Pragathi Nagar,5079,2,DStra S,1115,2,0,46
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,5080,3,Mauner ,1318,3,1,54
Built-up  Area,Ready To Move,JP Nagar,5081,3,,3300,4,3,160
Super built-up  Area,Ready To Move,Kalyan nagar,5082,2,,1280,2,1,48
Super built-up  Area,Ready To Move,Whitefield,5083,2,,1230,2,2,59
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,5084,3,,1420,2,2,60
Built-up  Area,Ready To Move,Kasavanhalli,5085,3,,2111,4,3,120
Super built-up  Area,Ready To Move,Vidyaranyapura,5086,2,,1100,2,1,54
Super built-up  Area,Ready To Move,Harlur,5087,3,,1750,3,2,136
Built-up  Area,Ready To Move,RMV 2nd Stage,5088,3,,2550,4,2,290
Super built-up  Area,Ready To Move,Shampura,5089,2,,700,1,2,35
Super built-up  Area,Ready To Move,Uttarahalli,5090,2,,1050,2,1,42
Super built-up  Area,Ready To Move,Uttarahalli,5090,2,Ihnueut,1235,2,3,90
Plot  Area,Ready To Move,Yeshwanthpur,5091,2,Pantym ,1200,2,0,63
Super built-up  Area,Ready To Move,Kengeri,5092,2,,900,2,0,30
Super built-up  Area,Ready To Move,Thanisandra,5093,2,SLaceda,1146,2,1,38
Plot  Area,Ready To Move,Yeshwanthpur,5094,4,,1200,4,1,110
Super built-up  Area,Ready To Move,Banashankari,5095,1,,2400,1,1,200
Plot  Area,Ready To Move,Marathahalli,5096,6,,1200,5,2,108
Built-up  Area,Ready To Move,Devarachikkanahalli,5097,1,,615,1,1,24
Super built-up  Area,19-Apr,Mysore Road,5098,2,Brama P,1070,2,1,49.65
Plot  Area,Ready To Move,Rajaji Nagar,5099,5,,1538,5,2,300
Super built-up  Area,Ready To Move,Poorna Pragna Layout,5100,3,,1355,2,3,58.25
Built-up  Area,Ready To Move,Venkatapura,5101,4,ThBayah,3080,2,1,285
Super built-up  Area,Ready To Move,Kundalahalli,5102,3,,1800,3,3,80
Built-up  Area,Ready To Move,Begur Road,5103,3,Dhalsh ,1400,2,3,50.06
Super built-up  Area,Ready To Move,Uttarahalli,5104,2,Aklia R,1123,2,1,48
Plot  Area,Ready To Move,Konanakunte,5105,4,,1200,2,1,130
Built-up  Area,Ready To Move,Kengeri,5106,2,UKanema,787,2,1,31
Super built-up  Area,Ready To Move,Kambipura,5107,3,Prrtht ,1082,2,1,45
Super built-up  Area,Ready To Move,Seegehalli,5108,2,,1096,2,1,41
Plot  Area,Ready To Move,Vidyaranyapura,5109,7,,1200,7,2,140
Plot  Area,Ready To Move,R.T. Nagar,5110,3,,1140,3,1,130
Carpet  Area,Ready To Move,Venugopal Reddy Layout,5111,2,Niiman ,1130,2,1,52
Built-up  Area,Ready To Move,Electronic City,5112,1,,550,1,1,12
Super built-up  Area,Ready To Move,Mahadevpura,5113,2,,1058,2,2,85
Built-up  Area,Ready To Move,Hebbal,5114,3,Cevely ,1269,2,1,73
Plot  Area,Ready To Move,Prithvi Layout,5115,3,,946,3,,140
Super built-up  Area,Ready To Move,4th Block Koramangala,5116,4,,3400,6,,420
Super built-up  Area,19-Jan,Kanakpura Road,5117,4,PrityFa,2689,6,2,245
Super built-up  Area,18-Oct,Hennur Road,5118,3,DSapeSk,1976,3,3,65.21
Super built-up  Area,Ready To Move,Kothanur,5119,3,Gilleon,1820,3,3,77
Super built-up  Area,Ready To Move,Uttarahalli,5120,3,Aklia R,1329,2,1,56
Super built-up  Area,Ready To Move,Kathriguppe,5121,3,,1350,2,1,80.99
Plot  Area,Ready To Move,Nagarbhavi,5122,4,,1250,3,0,175
Super built-up  Area,Ready To Move,Whitefield,5123,2,SSthamh,1205,2,1,40
Plot  Area,Ready To Move,Manganahalli,5124,6,,800,6,2,98
Super built-up  Area,Ready To Move,Kanakpura Road,5125,2,PuandHi,1339,2,2,71.5
Super built-up  Area,Ready To Move,Uttarahalli,5126,2,,938,2,0,35
Super built-up  Area,Ready To Move,Kuvempu Nagar,5127,1,,450,1,1,25
Built-up  Area,Ready To Move,BTM 2nd Stage,5128,2,Komesa ,1100,2,2,70
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,5129,4,,600,3,1,95
Super built-up  Area,Ready To Move,Yelahanka,5130,2,,1060,2,1,40
Super built-up  Area,Ready To Move,Whitefield,5131,2,,1125,2,2,40
Built-up  Area,Ready To Move,Whitefield,5131,1,SatraNa,810,1,0,21
Super built-up  Area,Ready To Move,Bellandur,5132,2,,1060,2,1,65
Plot  Area,Ready To Move,Anandapura,5133,4,,1749,4,0,90
Super built-up  Area,Ready To Move,Sahakara Nagar,5134,3,,1200,2,2,75
Super built-up  Area,Ready To Move,Cleveland Town,5135,2,Lehidrc,1100,2,1,85
Super built-up  Area,18-May,Rachenahalli,5136,1,AsNowre,660,1,0,32.64
Plot  Area,Ready To Move,Jalahalli East,5137,4,,720,4,2,48
Plot  Area,Ready To Move,Gunjur,5138,5,Chranya,6613,7,,950
Super built-up  Area,Ready To Move,Hoodi,5139,3,Goeur G,1925,3,3,110
Built-up  Area,Ready To Move,Kengeri,5140,1,,502,1,1,25
Built-up  Area,Ready To Move,Bommenahalli,5141,3,Prood G,3339,3,0,250
Built-up  Area,Ready To Move,Begur,5142,3,Arhtsth,1475,2,2,74
Super built-up  Area,18-Aug,Indra Nagar,5143,3,,1550,3,2,258
Super built-up  Area,18-Apr,Peenya,5144,2,,966,2,1,49
Plot  Area,Ready To Move,t.c palya,5145,6,,1350,6,3,160
Super built-up  Area,Ready To Move,Haralur Road,5146,2,NDionas,1300,2,2,75
Plot  Area,Ready To Move,Bagalur Main Road,5147,5,,4400,4,1,350
Super built-up  Area,21-May,Kogilu,5148,3,Sourtal,1559,3,2,120
Super built-up  Area,Ready To Move,Vittasandra,5149,2,,1246,2,1,63
Plot  Area,Ready To Move,Rajaji Nagar,5150,3,,2790,3,0,950
Super built-up  Area,Ready To Move,Begur Road,5151,3,Dhalsh ,1410,2,3,53.58
Plot  Area,Ready To Move,Varthur Road,5152,4,,1300,3,0,75
Super built-up  Area,Ready To Move,Kanakpura Road,5153,2,PuandHi,1339,2,2,58
Plot  Area,Ready To Move,Ilyas Nagar,5154,4,,900,4,1,75
Super built-up  Area,Ready To Move,Channasandra,5155,2,Unm 2El,1104,2,1,35.5
Built-up  Area,Ready To Move,Sultan Palaya,5156,2,,900,2,2,45
Built-up  Area,Ready To Move,3rd Phase JP Nagar,5157,3,Shestth,1550,2,2,79
Super built-up  Area,20-Dec,Kanakpura Road,5158,1,GolusLi,670,1,1,35
Super built-up  Area,19-Dec,Jakkur,5159,2,Ceezey ,1483,2,1,98
Super built-up  Area,Ready To Move,Basapura,5160,3,Saavenc,1540,2,2,70
Plot  Area,Ready To Move,Naganathapura,5161,8,,1200,7,3,100
Super built-up  Area,Ready To Move,Hennur,5162,2,,1255,2,1,54.5
Plot  Area,Ready To Move,OMBR Layout,5163,3,,600,3,2,100
Super built-up  Area,Ready To Move,Jayanagar,5164,2,,1036,2,2,110
Super built-up  Area,Ready To Move,Bannerghatta Road,5165,3,SNity S,1460,2,2,75
Super built-up  Area,Ready To Move,Devarachikkanahalli,5166,2,Wiaysld,1230,2,1,58
Built-up  Area,Ready To Move,Kanakpura Road,5167,2,PuandHi,1340,2,2,60
Built-up  Area,Ready To Move,Yelenahalli,5168,3,,1600,3,3,61.37
Built-up  Area,18-Apr,Hegde Nagar,5169,3,SoisoCa,2162,3,1,200
Super built-up  Area,Ready To Move,Electronic City,5170,2,Itvir M,919,2,2,40
Super built-up  Area,18-Aug,4th Phase JP Nagar,5171,2,,1070,2,2,38.9
Super built-up  Area,Ready To Move,Hosur Road,5172,3,UmrldDr,1733,2,3,85
Super built-up  Area,Ready To Move,Jigani,5173,3,DLhtsan,1221,3,3,72
Super built-up  Area,Ready To Move,kanakapura main road,5174,2,,1041,2,1,36.44
Built-up  Area,Ready To Move,Ambalipura,5175,4,SJodsed,2550,4,2,149
Built-up  Area,Ready To Move,Shampura,5176,3,,1400,3,1,70
Plot  Area,Ready To Move,Anjanapura,5177,1,,600,2,0,55
Built-up  Area,Ready To Move,Nagarbhavi,5178,1,MaentNa,710,2,2,40
Super built-up  Area,18-Apr,Electronic City,5179,3,GMown E,1500,2,1,78.25
Super built-up  Area,Ready To Move,Thigalarapalya,5180,4,Prtanha,3122,6,2,237
Super built-up  Area,Ready To Move,Akshaya Nagar,5181,3,HiahsLa,2061,3,3,175
Plot  Area,Ready To Move,Brookefield,5182,5,,2400,5,2,325
Super built-up  Area,19-Dec,Hebbal,5183,3,Magiaya,1255,2,1,95
Super built-up  Area,Ready To Move,Malleshwaram,5184,7,,2425,7,3,140
Super built-up  Area,Ready To Move,Electronic City Phase II,5185,2,Brods W,1031,2,1,55
Super built-up  Area,18-Jul,Balagere,5186,2,Soresea,1210,2,1,74
Super built-up  Area,Ready To Move,Anjanapura,5187,2,ACopsva,950,2,1,40
Plot  Area,Ready To Move,Nagaraja Garden,5188,4,,1376,4,1,156
Super built-up  Area,18-Dec,Hosa Road,5189,2,Mahesr ,1161,2,1,55.15
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,5190,2,GrrvaGr,1303,2,2,44.17
Super built-up  Area,Ready To Move,Thigalarapalya,5191,2,Prtanha,1418,2,2,105
Plot  Area,Ready To Move,Kengeri Satellite Town,5192,2,,1200,2,1,65
Super built-up  Area,Ready To Move,Basavangudi,5193,3,,1825,3,,175
Built-up  Area,Ready To Move,Bannerghatta Road,5194,2,Bhhmi L,1015,2,0,48
Carpet  Area,Ready To Move,Mathikere,5195,3,,1150,2,0,60
Super built-up  Area,Ready To Move,Singasandra,5196,2,Priewhi,1010,2,1,40
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,5197,3,Sariana,1508,3,1,75
Super built-up  Area,Ready To Move,7th Phase JP Nagar,5198,2,BriumMi,1275,2,1,87
Built-up  Area,Ready To Move,7th Phase JP Nagar,5198,3,Kaiew L,1460,3,1,70
Super built-up  Area,Ready To Move,Old Airport Road,5199,2,,946,2,2,58
Super built-up  Area,Ready To Move,Vignana Nagar,5200,2,Alows M,1110,2,2,58
Super built-up  Area,Ready To Move,Hennur Road,5201,3,SaireSa,1832,3,1,125
Super built-up  Area,18-Apr,Hebbal,5202,2,Arcia S,1088,2,2,61.45
Super built-up  Area,Ready To Move,Thanisandra,5203,3,Soitya ,1564,3,1,104
Super built-up  Area,18-Jan,Kadugodi,5204,2,Prclee ,1030,2,1,35.02
Super built-up  Area,Ready To Move,9th Phase JP Nagar,5205,2,,660,2,0,27
Super built-up  Area,Ready To Move,Sarjapur  Road,5206,3,Asncywo,1700,3,1,95
Plot  Area,Ready To Move,BTM 1st Stage,5207,4,,1100,5,2,121
Super built-up  Area,18-Feb,Panathur,5208,2,,1205,2,2,62.9
Super built-up  Area,Ready To Move,Lottegolla Halli,5209,3,,1950,3,2,90
Super built-up  Area,18-May,Devanahalli Int. Airport,5210,2,,1080,2,1,62
Built-up  Area,Ready To Move,Ardendale,5211,4,AWharde,2800,4,,140
Super built-up  Area,19-Jan,Mailasandra,5212,2,Hanar I,999,2,1,43.66
Plot  Area,Ready To Move,Basvasamithi Layout Vidyaranyapura,5213,4,,900,4,3,175
Super built-up  Area,19-Jul,Kanakpura Road,5214,2,Soazak ,1300,2,1,89.76
Super built-up  Area,Ready To Move,HRBR Layout,5215,2,Srayatr,1265,2,1,78
Built-up  Area,Ready To Move,Attibele,5216,2,,1200,2,2,42
Super built-up  Area,18-Mar,Bhoganhalli,5217,4,Rosha I,1974,4,0,106
Super built-up  Area,Ready To Move,Chelekare,5218,2,Goezell,1180,2,2,40
Super built-up  Area,Ready To Move,Amruthahalli,5219,3,,1350,2,3,63
Super built-up  Area,Ready To Move,Kodichikkanahalli,5220,3,DiamiSa,1560,2,2,65
Plot  Area,Ready To Move,8th Block Jayanagar,5221,2,,2800,2,0,650
Super built-up  Area,18-Aug,Hosakerehalli,5222,2,Maunt M,1085,2,1,41.23
Super built-up  Area,Ready To Move,Vijayanagar,5223,3,J axyGa,1300,2,2,75
Super built-up  Area,Ready To Move,Marathahalli,5224,3,Afncyad,1600,3,2,56
Super built-up  Area,Ready To Move,Atmananda Colony,5225,2,,1127,2,2,55
Super built-up  Area,Ready To Move,Kengeri Satellite Town,5226,2,Malowr ,795,2,2,32
Super built-up  Area,Ready To Move,Nagarbhavi,5227,3,,1850,3,2,88
Built-up  Area,18-Jul,Bommasandra Industrial Area,5228,2,,1020,2,1,29.45
Built-up  Area,Ready To Move,Doopanahalli,5229,3,KroneMo,1475,2,1,200
Plot  Area,Ready To Move,Baba Nagar,5230,3,,1200,3,3,96.25
Super built-up  Area,Ready To Move,Uttarahalli,5231,3,Aklia R,1345,2,1,47
Super built-up  Area,19-Nov,Kaikondrahalli,5232,2,,849,2,1,25.4
Super built-up  Area,19-Sep,Kanakpura Road,5233,3,Soazak ,1706,3,2,135
Super built-up  Area,19-Dec,Yelahanka,5234,4,LedorSa,2100,4,1,180
Super built-up  Area,Ready To Move,Nagadevanahalli,5235,3,,1250,2,2,65
Built-up  Area,Ready To Move,Kanakpura Road,5236,3,JRrnauv,1260,3,3,63.58
Super built-up  Area,Ready To Move,Horamavu Agara,5237,3,,1265,2,1,65
Super built-up  Area,17-Nov,Abbigere,5238,3,AdhriPa,1260,2,1,45
Super built-up  Area,18-Dec,Jalahalli,5239,2,Vaniai ,1045,2,1,58
Super built-up  Area,Ready To Move,Hebbal Kempapura,5240,4,,3895,4,2,495
Super built-up  Area,18-May, Rachenahalli,5241,1,AsNowre,385,1,0,19.8
Super built-up  Area,17-Jun,Bellandur,5242,2,,1100,2,3,62
Super built-up  Area,19-Sep,Kudlu Gate,5243,2,Srods P,1113,2,1,50
Super built-up  Area,18-Dec,Old Airport Road,5244,4,Jaades ,2774,4,3,208
Built-up  Area,Ready To Move,Varthur,5245,2,Vaensia,1210,2,1,60
Super built-up  Area,Ready To Move,Kogilu,5246,1,,700,1,1,30.84
Super built-up  Area,18-May,Kanakpura Road,5247,2,NellsKo,1155,2,1,55.5
Super built-up  Area,22-Jun,Hoodi,5248,2,GoAirej,1132,2,1,89
Super built-up  Area,18-Jan,Hennur Road,5249,2,Asadacy,1359,2,2,104
Super built-up  Area,Ready To Move,Byatarayanapura,5250,4,Reeroce,2631,3,,200
Super built-up  Area,Ready To Move,Kothanur,5251,2,,1145,2,2,56
Built-up  Area,Ready To Move,5th Phase JP Nagar,5252,1,Shenshi,600,1,1,30
Plot  Area,Ready To Move,Laggere,5253,1,,1200,1,1,125
Built-up  Area,Ready To Move,Mahalakshmi Puram,5254,2,,830,2,1,60
Super built-up  Area,Ready To Move,HSR Layout,5255,2,Ammesss,1009,2,2,56
Super built-up  Area,Ready To Move,Basavangudi,5256,3,Soarkig,1800,3,2,195
Super built-up  Area,Ready To Move,Yelahanka,5257,2,Niareum,1226,2,2,52.71
Super built-up  Area,Ready To Move,Badrappa Layout,5258,2,,1500,2,2,88
Super built-up  Area,Ready To Move,Electronic City,5259,2,Prarkun,1363,2,1,79
Built-up  Area,Ready To Move,Poorna Pragna Layout,5260,3,,1400,2,1,240
Built-up  Area,18-Dec,Bommasandra Industrial Area,5261,2,,1165,2,1,33.64
Built-up  Area,Ready To Move,HSR Layout,5262,4,Rocid P,2792,4,1,220
Built-up  Area,Ready To Move,Kammanahalli,5263,1,,700,1,0,59
Super built-up  Area,Ready To Move,Kaval Byrasandra,5264,2,May 2ge,1060,2,2,42
Built-up  Area,Ready To Move,Marathahalli,5265,2,Vantsra,1200,2,1,67
Built-up  Area,18-Dec,"Off Sarjapur Road, ",5266,3,,1518,3,2,76
Built-up  Area,Ready To Move,Nagappa Reddy Layout,5267,3,Ablmsol,1495,2,2,75
Built-up  Area,Ready To Move,Sanjay nagar,5268,2,,1575,2,2,90
Built-up  Area,Ready To Move,Rajaji Nagar,5269,2,Brway G,1440,2,2,170
Super built-up  Area,18-Dec,Kasavanhalli,5270,3,Goaysn ,1545,3,1,69
Built-up  Area,Ready To Move,Kengeri,5271,3,Akdorli,1470,3,3,50
Super built-up  Area,Ready To Move,Cooke Town,5272,3,,1500,3,3,95
Built-up  Area,Ready To Move,BTM Layout,5273,3,Myace P,1450,2,2,81
Super built-up  Area,Ready To Move,Hosur Road,5274,2,,1179,2,1,49
Super built-up  Area,Ready To Move,7th Phase JP Nagar,5275,3,Eladero,1650,3,2,110
Super built-up  Area,Ready To Move,Chandapura,5276,3,Arhid O,1095,2,2,32
Built-up  Area,18-Jan,Lal Bahadur Shastri Nagar,5277,2,,856,2,1,48
Super built-up  Area,Ready To Move,Naganathapura,5278,2,Malmsri,1143,2,1,62
Super built-up  Area,Ready To Move,Hebbal,5279,2,Prersis,1349,2,1,97.8
Built-up  Area,Ready To Move,Anjanapura,5280,3,ACopsva,1280,2,2,45
Super built-up  Area,Ready To Move,Malleshwaram,5281,1,,480,1,1,60
Super built-up  Area,18-Dec,Whitefield,5282,2,Prtates,1216,2,1,69.06
Super built-up  Area,Ready To Move,Doddakallasandra,5283,3,,2493,3,,115
Super built-up  Area,Ready To Move,Malleshwaram,5284,2,PantsAp,1290,2,1,120
Plot  Area,Ready To Move,Banjara Layout,5285,5,,1200,5,2,96
Super built-up  Area,Ready To Move,Electronic City,5286,2,Elodsre,1156,2,2,42
Super built-up  Area,Ready To Move,Thanisandra,5287,2,MenueNo,1230,2,2,44
Super built-up  Area,Ready To Move,Volagerekallahalli,5288,2,PSterAs,1070,2,2,33.15
Plot  Area,Immediate Possession,Devanahalli,5289,,Emngs S,2100,,,177.115
Super built-up  Area,18-Aug,Ramagondanahalli,5290,2,ViistLa,1235,2,1,49.3
Built-up  Area,Ready To Move,6th block Koramangala,5291,2,Krone S,1117,2,1,110
Super built-up  Area,Ready To Move,Kundalahalli,5292,3,Dieldli,1724,3,2,124
Plot  Area,Ready To Move,Jalahalli,5293,4,,1200,4,0,90
Super built-up  Area,Ready To Move,Venkatadri Layout,5294,1,Raiyai ,600,1,1,43
Super built-up  Area,Ready To Move,KR Puram,5295,3,DSise S,1930,2,2,57.9
Super built-up  Area,18-Dec,Whitefield,5296,2,Prtates,1216,2,1,75
Built-up  Area,Ready To Move,KR Puram,5297,3,ViionMa,1452,3,3,60
Super built-up  Area,Ready To Move,Whitefield,5298,2,Veale R,1355,2,3,78
Built-up  Area,Ready To Move,HMT Layout,5299,4,,7500,4,,425
Super built-up  Area,Ready To Move,Sarjapur  Road,5300,3,Adeatlm,2145,3,3,190
Super built-up  Area,Ready To Move,Bommanahalli,5301,2,Varlsa ,957,2,1,53
Built-up  Area,Ready To Move,Shantiniketan Layout,5302,2,Maest N,925,2,2,48
Super built-up  Area,Ready To Move,Bellandur,5303,2,Grntsd ,1550,2,3,59
Plot  Area,Ready To Move,Yelahanka New Town,5304,4,,4000,2,1,899
Plot  Area,20-Jul,Kanakpura Road,5305,3,,2100,3,2,140
Super built-up  Area,21-Dec,Bannerghatta Road,5306,2,PrarePa,1115,2,1,61
Super built-up  Area,Ready To Move,Yelahanka,5307,3,NCowsar,1692,3,2,83
Super built-up  Area,Ready To Move,Baba Nagar,5308,2,,1100,2,2,52
Super built-up  Area,Ready To Move,Hormavu,5309,3,ARureig,1385,2,2,69
Super built-up  Area,Ready To Move,Hosa Road,5310,1,Amelllu,760,1,1,24.9
Super built-up  Area,19-Dec,Electronics City Phase 1,5311,2,Shitt S,1335,2,2,67
Super built-up  Area,Ready To Move,Bommanahalli,5312,2,Kut 3or,910,2,1,45
Super built-up  Area,Ready To Move,Kanakpura Road,5313,3,MGBay T,1610,2,2,55
